question,product_description,image_url,label
Please could anyone tell me if this tripod could be used with a lumix dmc-fz18.  i presume you need to match the screw fittings on camera and tripod?,Hama | Star 61 Camera Tripod incl. Carrying Bag - Black,https://www.amazon.co.uk/ask/questions/Tx3C1Y9W8EJ37ZF,0
Hi can you just have the light on without heat? thanks.,Dimplex Yeominster Electric Radiant Heater 2KW - YEO20 (Flickering log effect 2 heat settings Overheat protection),https://www.amazon.co.uk/ask/questions/Tx1G1B48ESY8LZY,0
can i be veretically wall mounted?,Goodmans Compact Soundbar with Bluetooth Streaming and Horizontal or Vertical Orientation,https://www.amazon.co.uk/ask/questions/Tx84NN2N2XPCNK,0
does it come with a pump?,Intex 59416NP Crystal Blue Three Ring Inflatable Paddling Pool 1.14m x 25cm,https://www.amazon.co.uk/ask/questions/Tx3KKA97D11E4YE,0
Does the lid lock when it's in the open position?,Suncast SS1000 ® Premium Garden Storage Seat Box Suitable For Indoor & Outdoor Storage (83 Litre Capacity – Taupe),https://www.amazon.co.uk/ask/questions/Tx1Z9Q1BY8DT5WR,0
How does the lid open?,Suncast SS1000 ® Premium Garden Storage Seat Box Suitable For Indoor & Outdoor Storage (83 Litre Capacity – Taupe),https://www.amazon.co.uk/ask/questions/Tx1RCDCUHRICDFS,0
Does anyone else's machine cut out after 10mins?,Henry George / GVE 370-2 / 825714 Wet and Dry Vacuum 15 Litre 1060 Watt Green,https://www.amazon.co.uk/ask/questions/Tx2H8M73U2GGKWW,0
is it bagless,Henry George / GVE 370-2 / 825714 Wet and Dry Vacuum 15 Litre 1060 Watt Green,https://www.amazon.co.uk/ask/questions/Tx1IG043O41MB2Y,0
can you use this maching on curtains,Henry George / GVE 370-2 / 825714 Wet and Dry Vacuum 15 Litre 1060 Watt Green,https://www.amazon.co.uk/ask/questions/TxVOKXW56G9AN3,0
Will this model work with 110Volts in Canadian?,Henry George / GVE 370-2 / 825714 Wet and Dry Vacuum 15 Litre 1060 Watt Green,https://www.amazon.co.uk/ask/questions/TxU8OYIDVCPA9U,0
there seems to be two different versions of this. does the label say this contain 10 billion or 15 billion active cells? thanks,Culturelle Probiotic with Lactobacillus GG 30 Capsules,https://www.amazon.co.uk/ask/questions/TxX1S8QDJF83E2,0
does it work on an epson printer,HP Q2510A A4/210 x 297 mm Everyday Glossy Photo Paper 200 gsmWhite 100 Sheets,https://www.amazon.co.uk/ask/questions/Tx38E0E4ULZH73K,0
What are the comb lengths?,Wahl 9906-2017 Silver Groomsman Battery Hair Beard and Moustache Trimmer Set,https://www.amazon.co.uk/ask/questions/TxX5WCYN5ZJXWT,0
Are the batteries included rechargeable compatible or regular ones?,Wahl 9906-2017 Silver Groomsman Battery Hair Beard and Moustache Trimmer Set,https://www.amazon.co.uk/ask/questions/Tx3C1IY7VE7NNEE,0
Will this remove the hairs on the back of my neck and my shoulders?,Wahl 9906-2017 Silver Groomsman Battery Hair Beard and Moustache Trimmer Set,https://www.amazon.co.uk/ask/questions/Tx1MUDHJ3LCBJIV,0
Does this come boxed,Wahl 9916-1117 Groomsman Rechargeable Hair Beard and Moustache Trimmer Set Black/Silver,https://www.amazon.co.uk/ask/questions/Tx1FECVDRV0HTQA,0
Can you use them on heavy wall mirrors and how many strips would i need to use,Command Small Picture Hanging Strips 4 pairs - white,https://www.amazon.co.uk/ask/questions/Tx29ELGROM3JOSX,0
How many pictures can you hang with one pack?  It says '4 sets' - but is this to hang 1 2 or 4 pictures?,Command Small Picture Hanging Strips 4 pairs - white,https://www.amazon.co.uk/ask/questions/Tx3V4CB1C9Z7YL1,0
Can you use a 4 cup maker to make just 2 or 1 cup[s] or would i need to buy a 2 or 1 ground coffee cup holder to go with it?,Bialetti Brikka 4 Cup Espresso Maker with Cream Valve,https://www.amazon.co.uk/ask/questions/Tx26KEP7RYUJM9K,0
Is the top meant to have an open hole?,Bialetti Brikka 4 Cup Espresso Maker with Cream Valve,https://www.amazon.co.uk/ask/questions/Tx385QYE1IQJG9Y,0
is it 12 & 24 hour clock?,Acctim AURIC Alarm Clock Silver,https://www.amazon.co.uk/ask/questions/Tx1J80IBVLAYM3X,0
How gradual is the crescendo?,Acctim AURIC Alarm Clock Silver,https://www.amazon.co.uk/ask/questions/Tx3P79Y1OYL5HGQ,0
Is this electric,Acctim AURIC Alarm Clock Silver,https://www.amazon.co.uk/ask/questions/Tx2TFD202RM89LF,0
Would I have to use a patio cleaning detergent along with this brush to lift stubborn patio stains?,Wolf-Garten B40M Multi-Change Patio Brush,https://www.amazon.co.uk/ask/questions/Tx3LLPZCXFF7S4Z,0
recently bought this item & every time make a shake it goes bubbly and frothy at the top and makes it taste like it is off. never has happened before,Optimum Nutrition Serious Mass 5.4kg Strawberry,https://www.amazon.co.uk/ask/questions/Tx22J73X37NNROI,0
How long is the longest blade and is it a locking blade(you have to press a button to restore the blade)?,Victorinox Swiss Army Knife Champ,https://www.amazon.co.uk/ask/questions/Tx3KF6JJT9W5RJ2,0
How long is the blade in inches?,Victorinox Swiss Army Knife Champ,https://www.amazon.co.uk/ask/questions/Tx2F1SNZTEHIQUF,0
The item in the picture does not appear to hold the pen toothpick stainless steel pin (I can see the tweezers).Are they included?,Victorinox Swiss Army Knife Champ,https://www.amazon.co.uk/ask/questions/TxY9LK7SMMJWX1,0
do thes come with brackets thanks,Emsa 956751200 LANDHAUS Window Box 75 x 20 x 16 cm white,https://www.amazon.co.uk/ask/questions/Tx2TBG6M3HCKZCS,0
Does this tape have measurements in feet it,Stanley STA034262 C/Case F/GLass Tape 30M/100Ft  0 34 262,https://www.amazon.co.uk/ask/questions/Tx2RCQJRL3ZU682,0
Hi. Can I use this to cut a plastic bath panel ? Thanks,Stanley STA214563 Aviation Snip - Straight    2-14-563,https://www.amazon.co.uk/ask/questions/Tx19NWW9HTHSI0I,0
mmm. It sticks. Badly. Apart from greasing it next time should I flour it lightly to prevent cakes burning please?,"MasterClass Non-Stick Fluted Ring Cake Tin 27 cm (10"")",https://www.amazon.co.uk/ask/questions/Tx5IZSYSR3OA2V,0
What is the height of the unit itself? It isn't very clear,Raaco RAA126762 Parts Storage,https://www.amazon.co.uk/ask/questions/Tx3C931HIF1I7DB,0
Does it have pin restraint holes,Draper Expert 14104 21mm Hi-Torq Impact Deep Socket 1/2Dr,https://www.amazon.co.uk/ask/questions/Tx4Q25483GVURA,0
Does this hose fit Hoselock connectors?,Draper 56315 50 Meter Yellow Hose,https://www.amazon.co.uk/ask/questions/Tx1SCUUXVOE0FPO,0
would this soaker hose fit onto a Harcoster water butt,Draper 15 Meter Soaker Hose,https://www.amazon.co.uk/ask/questions/Tx3MY2466186S1V,0
do they come with a case and or strap?,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/Tx1T4Q3EA2YJPMK,0
hiwould these binoculars be ok for watching a vidio screen at the oppersite end of a rugby pitch,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/Tx33VH8H77P3PHV,0
Does it mount on tripods?,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/Tx1BTP3OUJC0HM5,0
are they waterproof,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/Tx3VER9AJYAPTFO,0
do they com with a strap to hang binos round neck and what is approx weight,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/Tx2JP1YIVLOJ5OK,0
Are they suitable for Cricket?,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/TxTZH6KDX8Y4P4,0
How does it perform in colder weather especially in the mountains ? I am worried if fogging will be in colder weather?,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/TxVBR36HA4OO6,0
Where is it manufactured?,Olympus 8 x 40 DPSI Binocular,https://www.amazon.co.uk/ask/questions/Tx3DKK3EX3DTMQ8,0
Are these easy to open for someone with arthritis they are for my Nan who doesnt have good grip strength so cant open cans/jar or cartons.,Sistema KLIP IT Food Storage Containers Blue Clips Pack of 6,https://www.amazon.co.uk/ask/questions/Tx273JLZ2ZDEFN2,0
Can I use this to glue twigs and tiny branches to make miniature fairy furniture? I have used a glue gun but whatever I bond with that comes apart,Evo Stik Wood Adhesive Resin W - 500ml 715417,https://www.amazon.co.uk/ask/questions/Tx3A2ZTUBZMNNUK,0
will this pva stick broken pottery?,Evo Stik Wood Adhesive Resin W - 500ml 715417,https://www.amazon.co.uk/ask/questions/Tx2BQAHLY9FU0U9,0
instructions of use please,FORITO  Damp Test Meter,https://www.amazon.co.uk/ask/questions/Tx5FNE60YN3O4J,0
Will these blades fit a bosch pho 1 planer?,Trend - Planer Blade 82mm,https://www.amazon.co.uk/ask/questions/Tx1P6YPP423NL7P,0
Is this suitable for very fine repair on netbook motherboards - eg attaching a Mini PCI-e port? Only need for a couple jobs - not keen on spending lots.,Weller 2012 (T0056811299) 12 Watt/230 Volt Series Mini 2000 Soldering Iron [Energy Class A]-Assorted Handle color,https://www.amazon.co.uk/ask/questions/Tx3PFNZZALK3DYN,0
Will my sons Thomas the tank engine metal trains work on this?,BRIO World Railway Track Expansion Pack - Beginner,https://www.amazon.co.uk/ask/questions/Tx148H2Y9YFP685,0
Is the strap very long? Would is fit a substantial wrist,Timex Expedition Men's T46681 Quartz Traditional Watch with Off-White Dial Analogue Display and Rugged Brown Leather Strap,https://www.amazon.co.uk/ask/questions/TxQIBTDJIY35TG,0
Will it fit the Sony A77II,Tamron SP AF 90mm F/2.8 Di 1:1 Macro lens for Sony / Minolta A-Mount SLR & DSLR (272E),https://www.amazon.co.uk/ask/questions/Tx3KHDG4DW0R17V,0
Does the handle ever get too hot to hold? Thanks,Judge Traditional Whistling Kettle Silver 2 Litre,https://www.amazon.co.uk/ask/questions/Tx2N823J7EDVPC3,0
Are these pans non stick?,ICTC Mauviel copper 30cm Frypan,https://www.amazon.co.uk/ask/questions/Tx1YQGJO5YR4YD3,0
Will this fit a cannon 450d,Celestron 93419 T-Ring Adapter for Canon EOS Digital Cameras,https://www.amazon.co.uk/ask/questions/Tx3IUHDGYNNBSIW,0
Is the bin sealed when the lid is closed so that no odour escapes?,Brabantia Touch Bin 30 L - Matt Steel,https://www.amazon.co.uk/ask/questions/Tx3TNJMQV40V8XT,0
How come this covers some peoples tattoos and not others?  Could anyone recommend one for fair skin?  I am a red head so pretty light.,Dermablend Leg And Body Cover Up with SPF 15 Natural,https://www.amazon.co.uk/ask/questions/Tx3E7WOKWSYAR48,0
Are all the cars the same colour and all the planes the same colour and so on?,Learning Resources Mini Motors Counters set 0f 72,https://www.amazon.co.uk/ask/questions/TxTZ7QHJC3YK7L,0
Hi is this in place of carbon cheers keith,Seachem Purigen for Freshwater 100 ml,https://www.amazon.co.uk/ask/questions/Tx2XD6JFSYS1NO7,0
How much does it weigh?,Leifheit - Drying rack Capri 80,https://www.amazon.co.uk/ask/questions/Tx39F8NB9KQ6YSS,0
Is it bad to give a stuffed kong tobmy puppy everyday? My 9 week old Miniature Schanzier has gotten to the 'chew and bite everything' stage.,KONG Puppy Small Assorted Colors,https://www.amazon.co.uk/ask/questions/Tx1BG34H28ZVE5H,0
Is this ok for tortoises?,Exo Terra PT2132 Daylight Basking Spot 75 Watt,https://www.amazon.co.uk/ask/questions/Tx3NW6K1QUUI564,0
Is this O.K for turtles,Exo Terra PT2310 Flat Faunarium Large,https://www.amazon.co.uk/ask/questions/Tx35VD5OR22XTQ4,0
Is there a lid/hood that fits this litter tray?,Van Ness Sifting Cat Pan with Frame,https://www.amazon.co.uk/ask/questions/Tx3BRK6EFUJFLP6,0
Is the cover black? As in one of the comments it looks quite blue in the picture. Thanks!,Gator GKC-1648 Stretchy Keyboard Cover For 88-Note Keyboards,https://www.amazon.co.uk/ask/questions/TxDXSHAHG73VN7,0
amazon say its produced in the usa .is that correct.,Epiphone Dot ES Style Semi-Hollow Body Electric Guitar Cherry Red Finish Laminate Maple Body Maple Top Alnico Classic Humbucker Pickups Rosewood Fretboard 24.75 scale,https://www.amazon.co.uk/ask/questions/Tx3BG3RPDVJB0CM,0
Does it have an end pin jack socket which is mounted through the body of the guitar and acts as the strap button too?,Fishman Neo-D Passive Magnetic Soundhole Pickup - Single Coil,https://www.amazon.co.uk/ask/questions/Tx1EKWA7QNACH9X,0
could i use this in my tropical fishtank,Landmann 0273 3Kg Lava Rock Pack,https://www.amazon.co.uk/ask/questions/Tx2ZMA8UJUJU1H0,0
Can these be used in gardening like broken to pieces and added to the potting mix?,Landmann 0273 3Kg Lava Rock Pack,https://www.amazon.co.uk/ask/questions/Tx2TYQO5107HCW8,0
Hi there. Would you ship this item to Dublin? IE 15. How much would this cost? Thanks in advance!,Landmann 0566 Charcoal Wagon Barbecue,https://www.amazon.co.uk/ask/questions/Tx2WY33NB56HKQ4,0
where is it made?,RPL Schlitten Davos,https://www.amazon.co.uk/ask/questions/Tx3GI0VV1OBXV7Z,0
will this work in the effects loop of a stereo guitar amp?,Behringer FBQ1502 Ultragraph Pro 15 Band Stereo Graphic Equalizer,https://www.amazon.co.uk/ask/questions/Tx3NWR88BG1KWOB,0
is this suitable for free shoot em up old arcade games [astor blaster ] its hard work using key to control a joystick would help,Thrustmaster USB Joystick (PC),https://www.amazon.co.uk/ask/questions/Tx1COGKY158XOU5,0
sorry i don't know if you got my first message ? will it work with MacBook Air thank you  .,Thrustmaster USB Joystick (PC),https://www.amazon.co.uk/ask/questions/Tx2VB4F5TERX61C,0
Does it have a twist function?,Thrustmaster USB Joystick (PC),https://www.amazon.co.uk/ask/questions/Tx1CV8Z8HQN67ZJ,0
Is the cover the same quality as the one sold on its own,Brabantia Lift-O-Matic Rotary Airer Washing Line with 45 mm Metal Soil Spear 50 m - Silver,https://www.amazon.co.uk/ask/questions/Tx16D9REAYLY83O,0
Please would you send the diameter and height of these models.  Thank you.,Brabantia Lift-O-Matic Large Rotary Airer Washing Line with Metal Soil Spear 60 m - Silver,https://www.amazon.co.uk/ask/questions/Tx36L3XTIP8LVJ7,0
Is the washing line removeable once set in ground? hoping to set in concrete but want to remove if kids are out playing on grass or for mowing lawn.,Brabantia Lift-O-Matic Large Rotary Airer Washing Line with Metal Soil Spear 60 m - Silver,https://www.amazon.co.uk/ask/questions/TxIZ0KFZPH13U5,0
What is internal diameter of pole,Brabantia Lift-O-Matic Large Rotary Airer Washing Line with Metal Soil Spear 60 m - Silver,https://www.amazon.co.uk/ask/questions/Tx33LJICEIZYXJK,0
i already have a ground spike in my garden will this suffice? are all ground spikes universal size or will i have to plant a new one?,Brabantia Lift-O-Matic Large Rotary Airer Washing Line with Metal Soil Spear 60 m - Silver,https://www.amazon.co.uk/ask/questions/Tx2KWNQIV8CYTC9,0
is it steel or aluminium,Brabantia Lift-O-Matic Large Rotary Airer Washing Line with Metal Soil Spear 60 m - Silver,https://www.amazon.co.uk/ask/questions/Tx1PM0LJH7B4WGO,0
Does this have to be concreted in ????,Brabantia Metal Soil Spear for Rotary Dryer 45 mm - Metal/Red (Red Plastic Cap),https://www.amazon.co.uk/ask/questions/Tx2XDACA9ULYGTC,0
what is the difference between a spear and a concrete tube ?,Brabantia Metal Soil Spear for Rotary Dryer 50 mm - Metal/Yellow,https://www.amazon.co.uk/ask/questions/Tx3DJ3HYJ0EZJQ,0
i am only 5 ft.will this guitar be too big for me,Epiphone EJ-200SCE Solid Top Cutaway Acoustic/Electric Guitar Vintage Sunburst Finish Maple Body Spruce Top 25.5 scale,https://www.amazon.co.uk/ask/questions/Tx7XP9L4PJRDIN,0
Does it come with a bag?,Epiphone AJ-100CE Cutaway Acoustic / Electric Guitar Mahogany Body Select Spruce Top Rosewood Fingerboard Mahogany Neck 25.5 scale,https://www.amazon.co.uk/ask/questions/Tx9HLMS3EC2VA9,0
